time_utc,forecast_mw,p10_mw,p90_mw,baseline_mw,temp_fc_c,method,model_version,issued_utc,before_gate_closure,weather
2026-09-25 22:00:00+00:00,7110.6,6691.2,7461.8,7157.8,12.3,model,v2,2026-09-25T09:46Z,True,smhi regional 9 cities (fresh)
2026-09-25 23:00:00+00:00,6942.5,6523.1,7293.7,7001.5,12.3,model,v2,2026-09-25T09:46Z,True,smhi regional 9 cities (fresh)
2026-09-26 00:00:00+00:00,6886.0,6466.5,7237.2,6860.5,12.4,model,v2,2026-09-25T09:46Z,True,smhi regional 9 cities (fresh)
2026-09-26 01:00:00+00:00,6812.7,6393.3,7163.9,6784.0,12.4,model,v2,2026-09-25T09:46Z,True,smhi regional 9 cities (fresh)
2026-09-26 02:00:00+00:00,6771.1,6351.7,7122.3,6834.0,12.5,model,v2,2026-09-25T09:46Z,True,smhi regional 9 cities (fresh)
2026-09-26 03:00:00+00:00,6814.8,6395.3,7166.0,6814.2,12.4,model,v2,2026-09-25T09:46Z,True,smhi regional 9 cities (fresh)
2026-09-26 04:00:00+00:00,6950.8,6532.1,7398.7,7031.5,12.5,model,v2,2026-09-25T09:46Z,True,smhi regional 9 cities (fresh)
2026-09-26 05:00:00+00:00,7112.7,6694.1,7560.6,7186.5,12.6,model,v2,2026-09-25T09:46Z,True,smhi regional 9 cities (fresh)
2026-09-26 06:00:00+00:00,7358.1,6939.5,7806.0,7466.2,12.9,model,v2,2026-09-25T09:46Z,True,smhi regional 9 cities (fresh)
2026-09-26 07:00:00+00:00,7553.5,7134.9,8001.4,7716.5,13.2,model,v2,2026-09-25T09:46Z,True,smhi regional 9 cities (fresh)
2026-09-26 08:00:00+00:00,7803.1,7384.4,8251.0,7935.2,13.7,model,v2,2026-09-25T09:46Z,True,smhi regional 9 cities (fresh)
2026-09-26 09:00:00+00:00,7918.8,7500.1,8366.7,8184.5,14.3,model,v2,2026-09-25T09:46Z,True,smhi regional 9 cities (fresh)
2026-09-26 10:00:00+00:00,7935.4,7459.0,8440.0,8188.5,14.8,model,v2,2026-09-25T09:46Z,True,smhi regional 9 cities (fresh)
2026-09-26 11:00:00+00:00,7919.6,7443.2,8424.2,8291.2,15.1,model,v2,2026-09-25T09:46Z,True,smhi regional 9 cities (fresh)
2026-09-26 12:00:00+00:00,7842.0,7365.7,8346.7,8299.5,15.5,model,v2,2026-09-25T09:46Z,True,smhi regional 9 cities (fresh)
2026-09-26 13:00:00+00:00,7886.9,7410.5,8391.5,8204.8,15.5,model,v2,2026-09-25T09:46Z,True,smhi regional 9 cities (fresh)
2026-09-26 14:00:00+00:00,7934.6,7458.3,8439.3,8167.2,15.4,model,v2,2026-09-25T09:46Z,True,smhi regional 9 cities (fresh)
2026-09-26 15:00:00+00:00,8196.9,7720.6,8701.6,8289.8,15.0,model,v2,2026-09-25T09:46Z,True,smhi regional 9 cities (fresh)
2026-09-26 16:00:00+00:00,8273.0,7867.0,8680.4,8246.5,14.3,model,v2,2026-09-25T09:46Z,True,smhi regional 9 cities (fresh)
2026-09-26 17:00:00+00:00,8287.9,7882.0,8695.4,8253.2,13.3,model,v2,2026-09-25T09:46Z,True,smhi regional 9 cities (fresh)
2026-09-26 18:00:00+00:00,8087.3,7681.3,8494.8,8199.8,12.5,model,v2,2026-09-25T09:46Z,True,smhi regional 9 cities (fresh)
2026-09-26 19:00:00+00:00,7812.7,7406.7,8220.2,7969.8,11.9,model,v2,2026-09-25T09:46Z,True,smhi regional 9 cities (fresh)
2026-09-26 20:00:00+00:00,7595.7,7189.7,8003.2,7775.5,11.2,model,v2,2026-09-25T09:46Z,True,smhi regional 9 cities (fresh)
2026-09-26 21:00:00+00:00,7341.8,6935.8,7749.3,7434.8,10.6,model,v2,2026-09-25T09:46Z,True,smhi regional 9 cities (fresh)
