time_utc,forecast_mw,p10_mw,p90_mw,baseline_mw,temp_fc_c,method,model_version,issued_utc,before_gate_closure,weather
2026-09-23 22:00:00+00:00,7744.6,7318.9,8085.1,7722.0,11.5,model,v2,2026-09-23T09:30Z,True,smhi regional 9 cities (fresh)
2026-09-23 23:00:00+00:00,7592.6,7166.9,7933.1,7571.0,11.3,model,v2,2026-09-23T09:30Z,True,smhi regional 9 cities (fresh)
2026-09-24 00:00:00+00:00,7356.1,6930.4,7696.6,7429.8,11.2,model,v2,2026-09-23T09:30Z,True,smhi regional 9 cities (fresh)
2026-09-24 01:00:00+00:00,7232.1,6806.4,7572.6,7329.8,11.2,model,v2,2026-09-23T09:30Z,True,smhi regional 9 cities (fresh)
2026-09-24 02:00:00+00:00,7289.0,6863.3,7629.5,7310.2,10.9,model,v2,2026-09-23T09:30Z,True,smhi regional 9 cities (fresh)
2026-09-24 03:00:00+00:00,7654.6,7228.9,7995.1,7546.8,10.5,model,v2,2026-09-23T09:30Z,True,smhi regional 9 cities (fresh)
2026-09-24 04:00:00+00:00,8519.9,8107.2,8966.5,8420.0,9.8,model,v2,2026-09-23T09:30Z,True,smhi regional 9 cities (fresh)
2026-09-24 05:00:00+00:00,9108.5,8695.8,9555.1,8924.0,9.6,model,v2,2026-09-23T09:30Z,True,smhi regional 9 cities (fresh)
2026-09-24 06:00:00+00:00,9295.9,8883.2,9742.5,9154.8,10.3,model,v2,2026-09-23T09:30Z,True,smhi regional 9 cities (fresh)
2026-09-24 07:00:00+00:00,9297.6,8884.9,9744.2,9240.0,11.5,model,v2,2026-09-23T09:30Z,True,smhi regional 9 cities (fresh)
2026-09-24 08:00:00+00:00,9221.6,8808.8,9668.1,9195.0,12.8,model,v2,2026-09-23T09:30Z,True,smhi regional 9 cities (fresh)
2026-09-24 09:00:00+00:00,9125.5,8712.7,9572.0,9260.2,14.1,model,v2,2026-09-23T09:30Z,True,smhi regional 9 cities (fresh)
2026-09-24 10:00:00+00:00,9086.3,8612.7,9601.7,9350.8,15.1,model,v2,2026-09-23T09:30Z,True,smhi regional 9 cities (fresh)
2026-09-24 11:00:00+00:00,8985.6,8512.0,9501.0,9167.5,15.9,model,v2,2026-09-23T09:30Z,True,smhi regional 9 cities (fresh)
2026-09-24 12:00:00+00:00,8931.9,8458.2,9447.2,9176.5,16.5,model,v2,2026-09-23T09:30Z,True,smhi regional 9 cities (fresh)
2026-09-24 13:00:00+00:00,8925.7,8452.0,9441.0,9198.8,16.8,model,v2,2026-09-23T09:30Z,True,smhi regional 9 cities (fresh)
2026-09-24 14:00:00+00:00,8944.8,8471.2,9460.2,9218.8,16.8,model,v2,2026-09-23T09:30Z,True,smhi regional 9 cities (fresh)
2026-09-24 15:00:00+00:00,9168.3,8694.6,9683.6,9404.8,16.4,model,v2,2026-09-23T09:30Z,True,smhi regional 9 cities (fresh)
2026-09-24 16:00:00+00:00,9249.4,8839.3,9656.8,9461.0,15.3,model,v2,2026-09-23T09:30Z,True,smhi regional 9 cities (fresh)
2026-09-24 17:00:00+00:00,9270.0,8859.9,9677.4,9360.0,13.8,model,v2,2026-09-23T09:30Z,True,smhi regional 9 cities (fresh)
2026-09-24 18:00:00+00:00,9137.9,8727.8,9545.2,9393.5,12.6,model,v2,2026-09-23T09:30Z,True,smhi regional 9 cities (fresh)
2026-09-24 19:00:00+00:00,8779.0,8368.9,9186.3,9029.2,11.8,model,v2,2026-09-23T09:30Z,True,smhi regional 9 cities (fresh)
2026-09-24 20:00:00+00:00,8343.8,7933.7,8751.1,8552.0,11.3,model,v2,2026-09-23T09:30Z,True,smhi regional 9 cities (fresh)
2026-09-24 21:00:00+00:00,7938.7,7528.6,8346.0,8035.0,10.8,model,v2,2026-09-23T09:30Z,True,smhi regional 9 cities (fresh)
