time_utc,forecast_mw,p10_mw,p90_mw,baseline_mw,temp_fc_c,method,model_version,issued_utc,before_gate_closure,weather
2026-09-24 22:00:00+00:00,7547.9,7127.2,7893.9,7568.2,12.1,model,v2,2026-09-24T09:28Z,True,smhi regional 9 cities (fresh)
2026-09-24 23:00:00+00:00,7423.6,7002.9,7769.6,7534.5,11.9,model,v2,2026-09-24T09:28Z,True,smhi regional 9 cities (fresh)
2026-09-25 00:00:00+00:00,7275.4,6854.7,7621.4,7415.8,11.5,model,v2,2026-09-24T09:28Z,True,smhi regional 9 cities (fresh)
2026-09-25 01:00:00+00:00,7263.5,6842.8,7609.5,7186.8,11.2,model,v2,2026-09-24T09:28Z,True,smhi regional 9 cities (fresh)
2026-09-25 02:00:00+00:00,7189.5,6768.8,7535.5,7075.0,11.0,model,v2,2026-09-24T09:28Z,True,smhi regional 9 cities (fresh)
2026-09-25 03:00:00+00:00,7532.0,7111.4,7878.0,7413.5,10.7,model,v2,2026-09-24T09:28Z,True,smhi regional 9 cities (fresh)
2026-09-25 04:00:00+00:00,8415.1,7993.5,8860.0,8284.8,10.5,model,v2,2026-09-24T09:28Z,True,smhi regional 9 cities (fresh)
2026-09-25 05:00:00+00:00,9109.2,8687.6,9554.1,8981.2,10.3,model,v2,2026-09-24T09:28Z,True,smhi regional 9 cities (fresh)
2026-09-25 06:00:00+00:00,9277.5,8855.9,9722.4,9114.2,10.9,model,v2,2026-09-24T09:28Z,True,smhi regional 9 cities (fresh)
2026-09-25 07:00:00+00:00,9196.2,8774.7,9641.1,9047.2,11.8,model,v2,2026-09-24T09:28Z,True,smhi regional 9 cities (fresh)
2026-09-25 08:00:00+00:00,9206.1,8784.6,9651.0,9084.8,12.7,model,v2,2026-09-24T09:28Z,True,smhi regional 9 cities (fresh)
2026-09-25 09:00:00+00:00,9078.9,8657.4,9523.8,9013.2,13.9,model,v2,2026-09-24T09:28Z,True,smhi regional 9 cities (fresh)
2026-09-25 10:00:00+00:00,8954.2,8470.3,9458.9,8824.0,14.9,model,v2,2026-09-24T09:28Z,True,smhi regional 9 cities (fresh)
2026-09-25 11:00:00+00:00,8850.3,8366.3,9355.0,8711.2,15.2,model,v2,2026-09-24T09:28Z,True,smhi regional 9 cities (fresh)
2026-09-25 12:00:00+00:00,8715.8,8231.8,9220.5,8418.2,15.7,model,v2,2026-09-24T09:28Z,True,smhi regional 9 cities (fresh)
2026-09-25 13:00:00+00:00,8610.4,8126.4,9115.1,8314.2,15.6,model,v2,2026-09-24T09:28Z,True,smhi regional 9 cities (fresh)
2026-09-25 14:00:00+00:00,8740.9,8257.0,9245.7,8559.2,15.3,model,v2,2026-09-24T09:28Z,True,smhi regional 9 cities (fresh)
2026-09-25 15:00:00+00:00,8856.6,8372.7,9361.4,8713.0,14.9,model,v2,2026-09-24T09:28Z,True,smhi regional 9 cities (fresh)
2026-09-25 16:00:00+00:00,8922.2,8513.2,9324.5,8930.8,14.4,model,v2,2026-09-24T09:28Z,True,smhi regional 9 cities (fresh)
2026-09-25 17:00:00+00:00,8963.9,8554.8,9366.1,9069.0,13.7,model,v2,2026-09-24T09:28Z,True,smhi regional 9 cities (fresh)
2026-09-25 18:00:00+00:00,8609.6,8200.6,9011.9,8611.5,13.0,model,v2,2026-09-24T09:28Z,True,smhi regional 9 cities (fresh)
2026-09-25 19:00:00+00:00,8152.6,7743.6,8554.8,8149.0,12.6,model,v2,2026-09-24T09:28Z,True,smhi regional 9 cities (fresh)
2026-09-25 20:00:00+00:00,7846.9,7437.8,8249.1,7878.2,12.4,model,v2,2026-09-24T09:28Z,True,smhi regional 9 cities (fresh)
2026-09-25 21:00:00+00:00,7548.0,7138.9,7950.2,7567.2,12.3,model,v2,2026-09-24T09:28Z,True,smhi regional 9 cities (fresh)
