time_utc,forecast_mw,baseline_mw,temp_fc_c,method,issued_utc,weather
2026-09-20 22:00:00+00:00,7339.6,7488.5,11.8,model,2026-09-20T13:01Z,smhi 2026-09-20T12:30:00Z
2026-09-20 23:00:00+00:00,7186.2,7260.0,11.5,model,2026-09-20T13:01Z,smhi 2026-09-20T12:30:00Z
2026-09-21 00:00:00+00:00,7133.3,7256.5,11.2,model,2026-09-20T13:01Z,smhi 2026-09-20T12:30:00Z
2026-09-21 01:00:00+00:00,7176.3,7358.5,10.9,model,2026-09-20T13:01Z,smhi 2026-09-20T12:30:00Z
2026-09-21 02:00:00+00:00,7104.5,7261.2,10.3,model,2026-09-20T13:01Z,smhi 2026-09-20T12:30:00Z
2026-09-21 03:00:00+00:00,7575.2,7712.2,9.9,model,2026-09-20T13:01Z,smhi 2026-09-20T12:30:00Z
2026-09-21 04:00:00+00:00,8536.4,8577.2,9.7,model,2026-09-20T13:01Z,smhi 2026-09-20T12:30:00Z
2026-09-21 05:00:00+00:00,9153.3,9177.5,9.9,model,2026-09-20T13:01Z,smhi 2026-09-20T12:30:00Z
2026-09-21 06:00:00+00:00,9384.5,9410.0,10.8,model,2026-09-20T13:01Z,smhi 2026-09-20T12:30:00Z
2026-09-21 07:00:00+00:00,9367.9,9229.8,11.5,model,2026-09-20T13:01Z,smhi 2026-09-20T12:30:00Z
2026-09-21 08:00:00+00:00,9271.0,9221.5,12.3,model,2026-09-20T13:01Z,smhi 2026-09-20T12:30:00Z
2026-09-21 09:00:00+00:00,9229.3,9164.5,13.4,model,2026-09-20T13:01Z,smhi 2026-09-20T12:30:00Z
2026-09-21 10:00:00+00:00,9155.6,9141.2,14.3,model,2026-09-20T13:01Z,smhi 2026-09-20T12:30:00Z
2026-09-21 11:00:00+00:00,9063.5,9140.5,15.1,model,2026-09-20T13:01Z,smhi 2026-09-20T12:30:00Z
2026-09-21 12:00:00+00:00,9038.2,9080.8,15.1,model,2026-09-20T13:01Z,smhi 2026-09-20T12:30:00Z
2026-09-21 13:00:00+00:00,9041.3,9114.5,15.2,model,2026-09-20T13:01Z,smhi 2026-09-20T12:30:00Z
2026-09-21 14:00:00+00:00,9087.7,9181.2,14.7,model,2026-09-20T13:01Z,smhi 2026-09-20T12:30:00Z
2026-09-21 15:00:00+00:00,9249.6,9214.5,14.5,model,2026-09-20T13:01Z,smhi 2026-09-20T12:30:00Z
2026-09-21 16:00:00+00:00,9250.2,9158.5,14.0,model,2026-09-20T13:01Z,smhi 2026-09-20T12:30:00Z
2026-09-21 17:00:00+00:00,9258.2,9273.0,13.1,model,2026-09-20T13:01Z,smhi 2026-09-20T12:30:00Z
2026-09-21 18:00:00+00:00,9096.6,9112.5,12.3,model,2026-09-20T13:01Z,smhi 2026-09-20T12:30:00Z
2026-09-21 19:00:00+00:00,8801.6,8804.5,11.8,model,2026-09-20T13:01Z,smhi 2026-09-20T12:30:00Z
2026-09-21 20:00:00+00:00,8408.7,8485.8,11.7,model,2026-09-20T13:01Z,smhi 2026-09-20T12:30:00Z
2026-09-21 21:00:00+00:00,7996.5,8199.2,11.4,model,2026-09-20T13:01Z,smhi 2026-09-20T12:30:00Z
