time_utc,forecast_mw,baseline_mw,temp_fc_c,method,issued_utc,weather
2026-09-19 22:00:00+00:00,6865.6,6975.5,15.2,model,2026-09-19T12:28Z,smhi 2026-09-19T12:00:00Z
2026-09-19 23:00:00+00:00,6788.3,6942.2,14.5,model,2026-09-19T12:28Z,smhi 2026-09-19T12:00:00Z
2026-09-20 00:00:00+00:00,6720.3,6806.0,14.1,model,2026-09-19T12:28Z,smhi 2026-09-19T12:00:00Z
2026-09-20 01:00:00+00:00,6579.4,6638.0,13.7,model,2026-09-19T12:28Z,smhi 2026-09-19T12:00:00Z
2026-09-20 02:00:00+00:00,6465.1,6574.0,13.5,model,2026-09-19T12:28Z,smhi 2026-09-19T12:00:00Z
2026-09-20 03:00:00+00:00,6576.3,6773.8,13.1,model,2026-09-19T12:28Z,smhi 2026-09-19T12:00:00Z
2026-09-20 04:00:00+00:00,6678.4,6889.5,13.0,model,2026-09-19T12:28Z,smhi 2026-09-19T12:00:00Z
2026-09-20 05:00:00+00:00,6800.5,7003.5,12.9,model,2026-09-19T12:28Z,smhi 2026-09-19T12:00:00Z
2026-09-20 06:00:00+00:00,7177.3,7375.2,13.3,model,2026-09-19T12:28Z,smhi 2026-09-19T12:00:00Z
2026-09-20 07:00:00+00:00,7546.6,7743.2,13.8,model,2026-09-19T12:28Z,smhi 2026-09-19T12:00:00Z
2026-09-20 08:00:00+00:00,7713.7,7991.8,14.4,model,2026-09-19T12:28Z,smhi 2026-09-19T12:00:00Z
2026-09-20 09:00:00+00:00,7884.3,8134.0,15.1,model,2026-09-19T12:28Z,smhi 2026-09-19T12:00:00Z
2026-09-20 10:00:00+00:00,7964.0,8216.5,15.6,model,2026-09-19T12:28Z,smhi 2026-09-19T12:00:00Z
2026-09-20 11:00:00+00:00,8079.9,8240.5,16.2,model,2026-09-19T12:28Z,smhi 2026-09-19T12:00:00Z
2026-09-20 12:00:00+00:00,8148.2,8240.2,16.4,model,2026-09-19T12:28Z,smhi 2026-09-19T12:00:00Z
2026-09-20 13:00:00+00:00,8017.2,8173.8,16.4,model,2026-09-19T12:28Z,smhi 2026-09-19T12:00:00Z
2026-09-20 14:00:00+00:00,8154.9,8228.2,16.4,model,2026-09-19T12:28Z,smhi 2026-09-19T12:00:00Z
2026-09-20 15:00:00+00:00,8414.5,8385.2,15.8,model,2026-09-19T12:28Z,smhi 2026-09-19T12:00:00Z
2026-09-20 16:00:00+00:00,8551.1,8477.0,15.4,model,2026-09-19T12:28Z,smhi 2026-09-19T12:00:00Z
2026-09-20 17:00:00+00:00,8590.7,8577.2,14.2,model,2026-09-19T12:28Z,smhi 2026-09-19T12:00:00Z
2026-09-20 18:00:00+00:00,8558.6,8524.0,13.4,model,2026-09-19T12:28Z,smhi 2026-09-19T12:00:00Z
2026-09-20 19:00:00+00:00,8229.8,8333.8,12.7,model,2026-09-19T12:28Z,smhi 2026-09-19T12:00:00Z
2026-09-20 20:00:00+00:00,7837.8,7940.5,12.2,model,2026-09-19T12:28Z,smhi 2026-09-19T12:00:00Z
2026-09-20 21:00:00+00:00,7528.4,7743.2,11.8,model,2026-09-19T12:28Z,smhi 2026-09-19T12:00:00Z
